epoch,accuracy,loss,val_accuracy,val_loss
0,0.9909894466400146,0.029961690306663513,NA,NA
0,0.9975366592407227,0.007156485226005316,NA,NA
0,0.9982606172561646,0.004589287098497152,NA,NA
0,0.9979498982429504,0.0057019018568098545,NA,NA
0,0.9986257553100586,0.003499350044876337,NA,NA
0,0.9980282187461853,0.005587973166257143,NA,NA
0,0.9987655878067017,0.0031279646791517735,NA,NA
0,0.9986079931259155,0.0036776764318346977,NA,NA
0,0.9989158511161804,0.0026930279564112425,NA,NA
0,0.9973864555358887,0.007628553081303835,NA,NA
0,0.997907280921936,0.005789767950773239,NA,NA
0,0.9980510473251343,0.005306301638484001,NA,NA
0,0.9982765316963196,0.0046564675867557526,NA,NA
0,0.9983997344970703,0.004302898421883583,NA,NA
0,0.9927657246589661,0.023073341697454453,NA,NA
0,0.9924421906471252,0.025667324662208557,NA,NA
0,0.9975387454032898,0.0070488713681697845,NA,NA
0,0.997653603553772,0.006773613393306732,NA,NA
0,0.9977366924285889,0.006788018625229597,NA,NA
0,0.9984129071235657,0.004297802224755287,NA,NA
0,0.9987941384315491,0.0030237482860684395,NA,NA
0,0.998529851436615,0.004080391954630613,NA,NA
0,0.9983217716217041,0.004623257555067539,NA,NA
0,0.998676598072052,0.003403704846277833,NA,NA
0,0.998558759689331,0.003816295647993684,NA,NA
0,0.998955488204956,0.00260297697968781,NA,NA
0,0.9990240931510925,0.0024024767335504293,NA,NA
0,0.9988144636154175,0.003041513031348586,NA,NA
0,0.9990494847297668,0.002338266000151634,NA,NA
0,0.9985533356666565,0.0039434959180653095,NA,NA
0,0.9990746378898621,0.002289836760610342,NA,NA
0,0.9990878701210022,0.0022742615547031164,NA,NA
0,0.9989224672317505,0.002779640955850482,NA,NA
0,0.9991586208343506,0.002045128494501114,NA,NA
0,0.9991870522499084,0.0019808632787317038,NA,NA
