epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.009471956640481949,0.04744066298007965,0.023438874632120132,NA,NA,NA
0,0.0019735966343432665,0.019015738740563393,0.0039739147759974,NA,NA,NA
0,0.0012887308839708567,0.015012667514383793,0.002593681216239929,NA,NA,NA
0,0.0008182113524526358,0.011374911293387413,0.0016422905027866364,NA,NA,NA
0,0.00069813197478652,0.009695463813841343,0.0013998851645737886,NA,NA,NA
0,0.0005673442501574755,0.008154152892529964,0.001137080485932529,NA,NA,NA
0,0.0004892271244898438,0.007192208897322416,0.0009801435517147183,NA,NA,NA
0,0.0004154964117333293,0.006426767911761999,0.0008319459157064557,NA,NA,NA
0,0.000531085766851902,0.007659104187041521,0.0010641199769452214,NA,NA,NA
0,0.0003736564249265939,0.005834472831338644,0.0007480117492377758,NA,NA,NA
0,0.009480038657784462,0.04753516614437103,0.023455681279301643,NA,NA,NA
0,0.0019907867535948753,0.01912970468401909,0.00400556530803442,NA,NA,NA
0,0.0012482935562729836,0.014706509187817574,0.0025118663907051086,NA,NA,NA
0,0.0008371553849428892,0.01142861507833004,0.00168038927949965,NA,NA,NA
0,0.0007350263185799122,0.009832093492150307,0.0014756759628653526,NA,NA,NA
0,0.0005863896803930402,0.008316822350025177,0.0011757278116419911,NA,NA,NA
0,0.0005232051480561495,0.007478610146790743,0.0010485034435987473,NA,NA,NA
0,0.0004290267825126648,0.006435132119804621,0.0008593189995735884,NA,NA,NA
0,0.0003990262921433896,0.006145693361759186,0.0007992222090251744,NA,NA,NA
0,0.0003858261916320771,0.006086558569222689,0.0007727094343863428,NA,NA,NA
0,0.009476395323872566,0.04748200625181198,0.023444849997758865,NA,NA,NA
0,0.0020124437287449837,0.01907036080956459,0.004048975184559822,NA,NA,NA
0,0.0013223917922005057,0.01510452851653099,0.0026605005841702223,NA,NA,NA
0,0.0008483717101626098,0.011731353588402271,0.0017029395094141364,NA,NA,NA
0,0.0006361159030348063,0.00909851212054491,0.001275419257581234,NA,NA,NA
0,0.0005594257963821292,0.00805924367159605,0.001121075008995831,NA,NA,NA
0,0.000461821531644091,0.006978683173656464,0.000925239291973412,NA,NA,NA
0,0.0004255677340552211,0.0066367401741445065,0.0008521510753780603,NA,NA,NA
0,0.0003815787495113909,0.0060812546871602535,0.0007640249677933753,NA,NA,NA
